City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Port-Gentil,GA,-0.7193,8.7815,75.16,83,75,9.22,broken clouds
334,Constitucion,CL,-35.3333,-72.4167,50.95,94,100,6.42,light rain
335,Cruzeiro Do Sul,BR,-29.5128,-51.9853,56.48,79,72,3.04,broken clouds
336,Kholtoson,RU,50.2981,103.3097,52.63,81,53,2.21,broken clouds
337,Saint Anthony,US,45.0205,-93.218,91.35,52,40,8.05,scattered clouds
338,Vila,PT,42.0304,-8.1588,69.69,59,28,1.61,scattered clouds
339,Narsaq,GL,60.9167,-46.05,59.22,72,96,6.08,overcast clouds
340,Pangkalanbuun,ID,-2.6833,111.6167,70.27,95,98,2.26,overcast clouds
341,Santa Rosa,PH,14.3122,121.1114,78.78,95,90,1.63,overcast clouds
342,Hualmay,PE,-11.0964,-77.6139,65.1,74,14,10.47,few clouds
343,Fairbanks,US,64.8378,-147.7164,65.08,63,40,1.01,light rain
